Country or region,correct_country_value
Afghanistan,1
Albania,2
Algeria,3
Andorra,4
Angola,5
Antigua and Barbuda,6
Argentina,7
Armenia,8
Australia,9
Austria,10
Azerbaijan,11
Bahamas,12
Bahrain,13
Bangladesh,14
Barbados,15
Belarus,16
Belgium,17
Belize,18
Benin,19
Bhutan,20
Bolivia,21
Bosnia and Herzegovina,22
Botswana,23
Brazil,24
Brunei Darussalam,25
Bulgaria,26
Burkina Faso,27
Burma,28
Burundi,29
Cambodia,30
Cameroon,31
Canada,32
Cape Verde,33
Central African Republic,34
Chad,35
Chile,36
China,37
Colombia,38
Comoros,39
Congo,40
"Congo, Democratic Republic of the",41
Costa Rica,42
Cote d’Ivoire,43
Croatia,44
Cuba,45
Cyprus,46
Czech Republic,47
Denmark,48
Djibouti,49
Dominica,50
Dominican Republic,51
Ecuador,52
Egypt,53
El Salvador,54
Equatorial Guinea,55
Eritrea,56
Estonia,57
Ethiopia,58
Fiji,59
Finland,60
France,61
Gabon,62
"Gambia, The",63
Georgia,64
Germany,65
Ghana,66
Greece,67
Grenada,68
Guatemala,69
Guinea,70
Guinea-Bissau,71
Guyana,72
Haiti,73
Honduras,74
Hungary,75
Iceland,76
India,77
Indonesia,78
Iran,79
Iraq,80
Ireland,81
Israel,82
Italy,83
Jamaica,84
Japan,85
Jordan,86
Kazakhstan,87
Kenya,88
Kiribati,89
"Korea, North",90
"Korea, South",91
Kuwait,92
Kyrgyzstan,93
Laos,94
Latvia,95
Lebanon,96
Lesotho,97
Liberia,98
Libya,99
Liechtenstein,100
Lithuania,101
Luxembourg,102
Macedonia,103
Madagascar,104
Malawi,105
Malaysia,106
Maldives,107
Mali,108
Malta,109
Marshall Islands,110
Mauritania,111
Mauritius,112
Mexico,113
Micronesia,114
Moldova,115
Monaco,116
Mongolia,117
Morocco,118
Mozambique,119
Myanmar,120
Namibia,121
Nauru,122
Nepal,123
The Netherlands,124
New Zealand,125
Nicaragua,126
Niger,127
Nigeria,128
Norway,129
Oman,130
Pakistan,131
Palau,132
Panama,134
Papua New Guinea,135
Paraguay,136
Peru,137
Philippines,138
Poland,139
Portugal,140
Qatar,141
Romania,142
Russia,143
Rwanda,144
St. Kitts and Nevis,145
St. Lucia,146
St. Vincent and The Grenadines,147
Samoa,148
San Marino,149
São Tomé and Príncipe,150
Saudi Arabia,151
Senegal,152
Serbia,153
Seychelles,154
Sierra Leone,155
Singapore,156
Slovakia,157
Slovenia,158
Solomon Islands,159
Somalia,160
South Africa,161
Spain,162
Sri Lanka,163
Sudan,164
Suriname,165
Swaziland,166
Sweden,167
Switzerland,168
Syria,169
Taiwan,170
Tajikistan,171
Tanzania,172
Thailand,173
Togo,174
Tonga,175
Trinidad and Tobago,176
Tunisia,177
Turkey,178
Turkmenistan,179
Tuvalu,180
Uganda,181
Ukraine,182
United Arab Emirates,183
United Kingdom,184
United States of America,185
Uruguay,186
Uzbekistan,187
Vanuatu,188
Vatican City,189
Venezuela,190
Vietnam,191
Western Sahara,192
Yemen,193
Yugoslavia,194
Zaire,195
Zambia,196
Zimbabwe,197
Greenland,198
Virgin Islands,199
Canary Islands,201
Montenegro,202
Gibraltar,203
Netherlands Antilles,204
Hong Kong,205
Macau,206
Isle of Man,257
East Timor,258
Kosovo,259
Åland Islands,260
Anguilla,261
Aruba,262
Bermuda,263
Bouvet Island,264
British Indian Ocean Territory,265
Cayman Islands,266
Christmas Island,267
Cocos (Keeling) Islands,268
Cook Islands,269
Curaçao,270
Falkland Islands,271
French Guiana,272
French Polynesia,273
French Southern and Antarctic Lands,274
Guadeloupe,275
Guernsey,276
Heard Island and McDonald Islands,277
Jersey,278
Martinique,279
Mayotte,280
Montserrat,281
New Caledonia,282
Niue,283
Norfolk Island,284
Palestinian territories,285
Pitcairn Islands,286
Réunion,287
Saint Barthélemy,288
Saint Helena,289
Saint Martin,290
Saint Pierre and Miquelon,291
Sint Maarten,292
South Georgia and the South Sandwich Islands,293
South Sudan,294
Svalbard and Jan Mayen,295
Tokelau,296
Turks and Caicos Islands,297
United States Minor Outlying Islands,298
Wallis and Futuna,299
Faroe Islands,300
